seed,agents,success,ticks,puzzles_solved,messages,blocked_time,invalid_actions,distance,replans
0,2,True,111,4,53,2,13,115,121
1,2,True,95,4,48,2,6,107,112
2,2,True,69,4,36,1,5,65,68
3,2,True,120,4,36,2,10,161,167
4,2,True,84,4,39,2,4,99,101
5,2,True,74,4,39,2,10,71,78
6,2,True,98,4,35,2,7,129,135
7,2,True,82,4,36,2,8,89,95
8,2,True,91,4,40,2,3,109,111
9,2,True,115,4,41,2,11,137,144
10,2,True,116,4,33,2,9,163,170
11,2,True,127,4,43,1,8,173,178
12,2,True,126,4,40,2,11,177,183
13,2,True,137,4,30,2,10,211,217
14,2,True,125,4,37,2,19,149,161
15,2,True,95,4,36,2,11,119,127
16,2,True,129,4,47,2,13,165,174
17,2,True,86,4,36,2,12,91,98
18,2,True,101,4,43,2,9,115,118
19,2,True,73,4,43,1,9,63,69
20,2,True,134,4,49,2,12,177,188
21,2,True,143,4,37,2,8,213,219
22,2,True,171,4,43,2,15,257,265
23,2,True,152,4,45,2,8,137,144
24,2,True,101,4,39,2,10,131,139
25,2,True,78,4,38,2,9,83,88
26,2,True,107,4,34,2,9,129,134
27,2,True,104,4,41,2,7,133,138
28,2,True,108,4,42,2,12,129,138
29,2,True,80,4,38,2,10,83,87
0,3,True,128,4,73,7,9,240,246
1,3,True,107,4,69,7,20,176,187
2,3,True,147,4,62,4,28,302,313
3,3,False,300,4,50,449,11,124,130
4,3,True,128,4,46,16,12,270,277
5,3,True,112,4,72,21,11,190,198
6,3,True,117,4,58,7,21,234,248
7,3,True,146,4,78,3,22,290,303
8,3,True,94,4,43,16,14,172,180
9,3,True,150,4,52,18,10,332,340
10,3,True,153,4,72,61,17,260,273
11,3,True,142,4,74,10,24,274,291
12,3,True,184,4,60,6,24,424,444
13,3,True,140,4,51,6,16,314,326
14,3,True,98,4,48,7,9,182,185
15,3,True,109,4,52,11,19,210,220
16,3,True,132,4,79,12,20,218,230
17,3,True,130,4,74,9,14,238,246
18,3,True,118,4,58,6,11,240,245
19,3,True,83,4,60,10,12,126,131
20,3,True,103,4,62,10,8,192,196
21,3,True,102,4,51,8,17,192,204
22,3,True,141,4,48,4,23,318,336
23,3,False,300,3,53,0,438,172,195
24,3,True,105,4,51,14,12,202,210
25,3,True,137,4,76,3,18,276,289
26,3,True,111,4,55,14,20,208,221
27,3,False,300,4,50,295,16,348,357
28,3,True,101,4,51,12,13,196,202
29,3,True,136,4,57,14,26,266,280
